Name,Status,Batch,Team_size,Website,Founders
Coinbase,,S12,6112,https://www.coinbase.com,Brian Armstrong ( )
,,S12,3000,https://www.instacart.com,Apoorva Mehta (https://www.linkedin.com/in/apoorvamehta/ https://twitter.com/apoorva_mehta); Brandon Leonardo (https://www.linkedin.com/in/leonardo/ https://twitter.com/shiftb); Max Mullen (https://www.linkedin.com/in/maxmullen/ http://twitter.com/max)
Benchling,,S12,750,http://benchling.com,Sajith Wickramasekara ( )
Lever,,S12,225,https://www.lever.co/,Brian Noguchi ( ); Nate Smith ( ); Sarah Nahm ( )
,,S12,210,https://clever.com,Dan Carroll (https://www.linkedin.com/in/danielcarroll/ ); Rafael Garcia (https://www.linkedin.com/in/rafgarcia/ )
SmartAsset,,S12,210,http://smartasset.com,Michael Carvin ( )
Zapier,Active,S12,700,http://zapier.com,Wade Foster (https://www.linkedin.com/in/wadefoster/ https://twitter.com/wadefoster); Bryan Helmig (https://www.linkedin.com/in/bryanhelmig/ ); Mike Knoop (https://www.linkedin.com/in/mikeknoop https://twitter.com/mikeknoop)
9gag,,,36,http://9gag.com,Chris Chan ( ); Derek Chan ( ); Ray Chan (https://linkedin.com/in/raychan https://twitter.com/barelyanything)
,,S12,2,https://svbtle.com,Dustin Curtis (https://www.linkedin.com/in/dustinjcurtis https://twitter.com/dcurtis)
Plivo,Active,S12,320,https://plivo.com,Venky B (https://linkedin.com/in/bevenky https://twitter.com/bevenky); Michael Ricordeau (https://www.linkedin.com/in/michaelricordeau/ )
Double Robotics,,S12,11,https://doublerobotics.com,David Cann (https://www.linkedin.com/in/davidjcann ); Marc DeVidts (https://www.linkedin.com/in/marcdevidts )
Vastrm,,S12,2,http://vastrm.com,Jonathan Tang (https://www.linkedin.com/in/jonathantang/ )
Flightfox,Active,S12,25,http://flightfox.com,Todd Sullivan (https://www.linkedin.com/in/todsul/ ); Lauren Sullivan (https://www.linkedin.com/in/lozsul/ )
BackerKit,,S12,62,https://backerkit.com,Maxwell Salzberg (https://www.linkedin.com/in/maxwell-salzberg/ https://www.twitter.com/maxwellsalz); Rosanna Yau (https://www.linkedin.com/in/rosannayau/ https://twitter.com/oannasoro)
Submittable,,S12,165,https://www.submittable.com/,Michael FitzGerald ( ); John Brownell ( ); Bruce Tribbensee ( )
NewsBlur,Active,S12,1,https://www.newsblur.com,Samuel Clay ( https://twitter.com/samuelclay)
