Name,Status,Batch,Team_size,Website
DoorDash,Founded,S13,8600,http://doordash.com
Casetext,Acquired,S13,50,http://casetext.com
CoreOS,Acquired,S13,150,http://coreos.com
Webflow,Startup,S13,600,https://webflow.com
True Link,Active,S13,100,https://www.truelinkfinancial.com/
Reebee,Active,S13,11,http://reebee.com
Lob,Active,S13,150,http://lob.com
Panorama Education,Active,S13,350,https://www.panoramaed.com/
Cratejoy,,S13,51,http://cratejoy.com
Estimote Inc.,Active,S13,40,http://estimote.com
EasyPost,Active,S13,51,http://easypost.com
Asseta,Active,S13,4,http://www.asseta.com
7 Cups,Founded,S13,11,http://7cups.com
Echo Locker,Founded,S13,2,http://echolocker.com
Weilos,,S13,11,http://weilos.com
Datarank,Acquired by SimplyMeasured.,S13,11,http://www.datarank.com
Lumoid,Acquired,S13,11,http://lumoid.com
StatusPage,Acquired,S13,0,http://statuspage.io
Bop.fm,Acquired,S13,2,http://bop.fm
Arcus,Acquired,S13,100,http://arcusfi.com
RealCrowd,Acquired,S13,9,http://realcrowd.com
Senic,Acquired,S13,16,http://senic.com
Layer By Layer,Acquired,S13,2,http://layerbylayer.com
SpoonRocket,,S13,51,http://spoonrocket.com
SimpleLegal,Acquired,S13,60,http://simplelegal.com
Hackermeter,Acquired,S13,11,http://hackermeter.com
BloomThat,Founded,S13,11,http://bloomthat.com
Standard Treasury,Acquired,S13,0,http://standardtreasury.com
Apptimize,Founded,S13,50,http://apptimize.com
URX,Acquired,S13,11,http://urx.com
Ixiplay,Active,S13,2,http://
WebCake,Founded,S13,0,http://designly.com
The easiest way to work with someone else on a document,Inactive,S13,2,http://kivo.com
SoundFocus,Inactive,S13,2,http://soundfocus.com
Butter Systems,active,S13,2,http://buttersystems.com
Audobox,,S13,0,http://audobox.com
Amulyte,,S13,2,http://amulyte.com
Watchsend,Company,S13,2,http://watchsend.com
One Month,Inactive,S13,1,http://onemonth.com
Meta,Founded,S13,11,http://www.metavision.com/
LocalOn,Inactivated,S13,2,http://localon.com
Le Tote,Active,S13,500,http://letote.com
Hum,Inactive,S13,11,http://letshum.com
Graft Concepts,,S13,2,http://graftconcepts.com
Glio,Active,S13,2,http://glio.com
Floobits,,S13,2,http://floobits.com
GoComm,,S13,2,http://gocomm.com
Crowdery,Founded,S14,2,http://crowdery.com
Buttercoin,Inactivemarketplace,S13,11,http://buttercoin.com
StackMachine,Founder,S13,2,http://stackmachine.com
FanHero,Inactive,S13,1,https://fanhero.com/
Teleborder,Active,S13,11,http://teleborder.com
