Name,Status,Batch,Team_size,Website,Unnamed: 5
Go1,Active,S15,650,https://go1.com,
OpenInvest,Active,S15,110,http://www.openinvest.com,
Scentbird,Active,S15,165,https://www.scentbird.com,
Human Interest,Active,S15,765,http://humaninterest.com,
Flirtey (SkyDrop),Active,S15,11,https://www.flirtey.com/,
Eight Sleep,Active,S15,100,http://eightsleep.com,
Instawork,Active,S15,500,http://instawork.com,
Cofactor Genomics,Active,S15,13,http://cofactorgenomics.com,
Click & Grow,Active,S15,28,https://www.clickandgrow.com/,
Bitmovin,Active,S15,145,http://bitmovin.com,
TetraScience,Active,S15,100,https://www.tetrascience.com,
The Ticket Fairy,Active,S15,15,https://www.ticketfairy.com/,
HER,Active,S15,10,http://weareher.com,
Font Awesome,Active,S15,17,http://fontawesome.com,
"80,000 Hours",Active,S15,13,http://80000hours.org,William MacAskill (http://uk.linkedin.com/in/wdmacaskill ); Benjamin Todd (https://uk.linkedin.com/pub/benjamin-todd/63/66b/b58/ )
Xendit,Active,S15,700,https://www.xendit.co/,
Shred Video,Active,S15,2,https://shredvideo.com,
ShapeScale,Active,S15,7,https://shapescale.com,
RedCarpetUp,Active,S15,100,http://redcarpetup.com,
Plate IQ,Active,S15,200,https://plateiq.com,
PickTrace,Active,S15,65,http://picktrace.com/company,
Fountain,Active,S15,200,http://fountain.com,
MicroHealth,Active,S15,10,http://microhealth.com,
Zeplin,Active,S15,140,https://zeplin.io,
Markhor,Active,S15,5,http://markhor.com,
Circle Medical,Active,S15,153,https://circlemedical.com,
GiveCampus,Active,S15,85,http://go.givecampus.com,
Drip Capital,Active,S15,280,http://dripcapital.com,
Chaldal,Active,S15,2886,http://chaldal.com,
Bodyport,Active,S15,19,http://bodyport.com,
Verge Genomics,Active,S15,50,http://vergegenomics.com,
Thrive Agritech,Active,S15,8,http://www.thriveagritech.com,
Tesorio,Active,S15,53,https://www.tesorio.com,
Reach Labs,Active,S15,16,https://reachlabs.co/,
SunFarmer,Active,S15,15,http://sunfarmer.org,
Confident LIMS,Active,S15,17,https://confidentlims.com,
Branch8,Active,S15,15,http://branch8.com,
Heroic Labs,Active,S15,21,http://heroiclabs.com,
SnapMagic,Active,S15,28,https://www.snapmagic.com,
Scope AR,Active,S15,50,http://scopear.com,
PartnerStack,Active,S15,200,https://partnerstack.com,
Assembly,Active,S15,12,https://asm.co/,
Gemnote,Active,S15,40,http://gemnote.com,
New Story,Active,S15,30,http://newstoryhomes.org,
Ironclad,Active,S15,400,http://ironcladapp.com,
Leaders In Tech (formerly InnerSpace),Active,S15,1,http://leadersintech.org,
teabot,Active,S15,2,http://teaBOT.com,
Teleport,Active,S15,200,https://goteleport.com,
Lugg,Active,S15,50,http://lugg.com,
Gigster,Acquired,S15,51,https://gigster.com/,
Tenant Turner,Acquired,S15,15,http://tenantturner.com,
PlateJoy,Acquired,S15,11,http://platejoy.com,
Nebia,Acquired,S15,16,http://nebia.com,
Auro Robotics,Active,S15,10,http://www.auro.ai/,
