Name,Status,Batch,Team_size,Website
Machine Zone,Acquired,W08,501,https://www.mz.com
Heroku,Acquired,W08,300,http://heroku.com
Ninite,Active,W08,2,http://ninite.com
RescueTime,Active,W08,15,http://rescuetime.com
280 North,Acquired,W08,11,http://280north.com
Omnisio,Acquired,W08,0,http://omnisio.com
A Thinking Ape,Acquired,W08,75,http://athinkingape.com
BitSample,Inactive,W08,0,
Joberator,Inactive,W08,2,http://joberator.com
Insoshi,Inactive,W08,0,http://insoshi.com
Snaptalent,Inactive,W08,2,http://snaptalent.com
YumDots,Inactive,W08,2,http://yumdots.com
Deluux,Inactive,W08,2,http://deluux.com
Kirkland North,Inactive,W08,2,http://kirklandnorth.com
Tipjoy,Inactive,W08,2,http://tipjoy.com
Mixwit,Inactive,W08,2,http://cloud.tv
SocialBrowse,Inactive,W08,2,http://socialbrowse.com
Wundrbar,Inactive,W08,2,http://wundrbar.com
FathomDB,Inactive,W08,0,http://fathomdb.com
MightyQuiz,Inactive,W08,2,http://mightyquiz.com
Trigger,Inactive,W08,11,http://trigger.io
