Name,Status,Batch,Team_size,Website,Founders
Sqreen,Acquired,W18,120,https://www.sqreen.com,
Bear Flag Robotics,Acquired,W18,10,http://bearflagrobotics.com/,
Groww,Active,W18,1050,https://groww.in,
Newfront,Active,W18,850,https://www.newfront.com/,
Snackpass,Active,W18,38,https://snackpass.co,
Replit,Active,W18,115,https://replit.com,
Swayable,Active,W18,30,http://swayable.com,
FidoCure,Active,W18,14,https://www.fidocure.com,
Veriff,Active,W18,350,https://veriff.com/,
Aerones,Active,W18,25,http://www.aerones.com,
Super,Active,W18,1037,http://superapp.id/,
Helloverify,Active,W18,600,https://www.helloverify.com,
Runa,Active,W18,100,http://runahr.com/,
ErudiFi,Active,W18,180,http://www.erudifi.com,
CaptivateIQ,Active,W18,280,https://www.captivateiq.com,
Vena Medical,Active,W18,7,https://www.venamed.ca/,
Mind Emulation Foundation,Active,W18,1,https://mindemulation.org/,
Anjuna,Active,W18,55,https://www.anjuna.io,
Tarjimly,Active,W18,4,https://tarjimly.org,
Callisto,Active,W18,7,https://www.projectcallisto.org,
Observe.AI,Active,W18,240,https://observe.ai,
Culture Biosciences,Active,W18,40,https://culturebiosciences.com,
ZBiotics,Active,W18,22,https://zbiotics.com/,
ArchForm,Active,W18,23,http://archform.com,
OpenSea,Active,W18,250,https://opensea.io,
AlgoSurg Inc,Active,W18,8,http://www.algosurg.com,
Memora Health,Active,W18,115,https://memorahealth.com,
OSIMple,Active,W18,2,http://osimple.co,
YouTeam,Active,W18,34,https://youteam.io,
Orangewood Labs,Active,W18,40,http://www.orangewood.co,
Mojo,Active,W18,25,https://mojo-app.com,
Aspire,Active,W18,500,https://aspireapp.com,
SafetyWing,Active,W18,100,http://www.safetywing.com,
Delphia,Active,W18,23,http://delphia.com,
Pelago,Active,W18,130,https://www.pelagohealth.com,
Substack,Active,W18,90,https://substack.com,
Volley,Active,W18,75,https://volleythat.com,
Gainful,Active,W18,30,https://gainful.com/,
Cognition IP,Active,W18,12,https://www.cognitionip.com,
Players' Lounge,Active,W18,13,https://playerslounge.co/,
Psylaris,Active,W18,10,https://www.psylaris.com/,
Treasury Prime,Active,W18,100,https://treasuryprime.com,
Juni,Active,W18,30,https://junilearning.com,
Universe,Active,W18,25,http://onuniverse.com,
Let's Do This,Active,W18,75,https://www.letsdothis.com/,
Podcast App,Active,W18,18,https://podcast.app/,
Supermedium,Active,W18,2,https://supermedium.com/,
Tributi,Active,W18,20,http://tributi.com,
Sourcify,Active,W18,15,https://www.sourcify.com/,
Plexus,Active,W18,3,http://plexus.im,
BioRender,Active,W18,205,https://www.biorender.com,
tEQuitable,Active,W18,6,https://www.tEQuitable.com,
Meitre,Active,W18,9,http://meitre.com/,
Draftbit,Active,W18,10,https://draftbit.com,
LUS Brands,Active,W18,20,http://lusbrands.com,
Vanta,Active,W18,550,https://vanta.com,
Dear Brightly,Active,W18,3,https://www.dearbrightly.com,
Nuvocargo,Active,W18,150,http://www.nuvocargo.com,
AesculaTech,Active,W18,6,https://www.aesculatech.com/,
Reverie Labs,Active,W18,29,http://www.reverielabs.com,
Persephone Biosciences,Active,W18,6,http://persephonebiosciences.com/,
Modern Health,Active,W18,375,https://www.modernhealth.com/,
Promise,Active,W18,40,http://promise-pay.com,
Tradewind BioScience,Active,W18,2,https://www.tradewindbio.com,
Nectome,Active,W18,5,https://nectome.com/,
Biobot Analytics,Active,W18,17,http://biobot.io,
NEXGENT,Active,W18,25,https://ngt.academy/,
Macromoltek,Active,W18,14,https://www.macromoltek.com,
Avro Life Science,Active,W18,8,http://avrolifesci.com,
Mighty Buildings,Active,W18,200,https://www.mightybuildings.com,
SRTX,Active,W18,150,https://www.srtxlabs.com/,
Simetrik,Active,W18,350,https://simetrik.com,
Key Values,Active,W18,1,https://www.keyvalues.com,
CoinTracker,Active,W18,70,https://www.cointracker.io/,
Slite,Active,W18,40,https://slite.com/,
Glowing.io,Active,W18,11,http://www.glowing.io,
Sixfold Bioscience,Active,W18,27,https://www.sixfold.bio,
Worklytics,Active,W18,0,https://www.worklytics.co,
Fondo,Active,W18,53,http://tryfondo.com,
Observant,Active,W18,5,https://www.observantai.com,
Copilot,Active,W18,15,https://www.copilot.com,
Ovipost,Active,W18,20,https://ovipost.com,
Jasper.ai,Active,W18,195,https://jasper.ai,
Shogun,Active,W18,90,https://getshogun.com,
Blueberry Pediatrics,Active,W18,15,https://blueberrypediatrics.com,
Beanstalk,Active,W18,15,http://beanstalk.farm,
Spellbrush,Active,W18,20,https://spellbrush.com,
Torch,Active,W18,130,https://torch.io/,
Quantstamp,Active,W18,80,https://quantstamp.com,
Precious,Active,W18,7,https://preciousapp.com/,
Sketchbox,Active,W18,20,https://www.sketchbox3d.com,
Proven Group,Active,W18,40,https://www.provenskincare.com,
Lucy Goods Inc,Active,W18,7,https://lucy.co/,
Look After My Bills,Acquired,W18,2,http://www.lookaftermybills.com,
Qulture.Rocks,Acquired,W18,70,https://qulture.rocks/en/home/,
Jido Maps,Acquired,W18,6,https://jidomaps.com/,
Swipehouse,Acquired,W18,5,https://swipehouse.co,
Medumo,Acquired,W18,12,https://www.medumo.com/,
Zyper,Acquired,W18,35,https://zyper.com/,
Dataform,Acquired,W18,10,https://dataform.co,
SharpestMinds,Acquired,W18,4,http://sharpestminds.com,
Naborly,Acquired,W18,25,https://naborly.com,
Hunter2,Acquired,W18,0,https://hunter2.com,
Lawyaw,Acquired,W18,15,http://www.lawyaw.com,
Edwin,Acquired,W18,14,https://edwin.ai,
Flinto,Acquired,W18,0,http://flinto.app,
Correlia Biosystems,Acquired,W18,16,http://www.correliabio.com,
Evry Health,Active,W18,17,http://evryhealth.com/,
NewCraft,Acquired,W18,2,https://www.newcraft.io/,
Squad,Acquired,W18,10,http://squadapp.io,
Glimpse K12,Acquired,W18,6,http://www.glimpsek12.com/,
CodeStream,Acquired,W18,10,http://codestream.com,
onederful,Acquired,W18,2,http://www.onederful.co,
Sepsis Scout,Acquired,W18,5,https://sepsisscout.com,
ClearBrain,Acquired,W18,10,https://clearbrain.com/,
Pulse,Acquired,W18,11,https://www.pulse.qa,
Mayhem,Acquired,W18,10,https://www.mayhem.gg,
Lambda Tea,Inactive,W18,0,http://lambdatea.com,
Hexel,Inactive,W18,2,https://www.onhexel.com,
Point API,Inactive,W18,5,https://pointapi.com,
Ben,Inactive,W18,2,https://ben.co,
Secured,Inactive,W18,12,https://secured.community,
Iambiq Technologies,Inactive,W18,2,http://www.iambiqtech.com/,
Voicery,Inactive,W18,2,http://www.voicery.com,
Atrium,Inactive,W18,180,http://www.atrium.co,
Pagedraw,Inactive,W18,5,https://pagedraw.io,
Shone,Inactive,W18,8,http://www.shone.com/,
Vathys,Inactive,W18,6,http://vathys.ai,
Station,Inactive,W18,9,https://stationhq.com/,
Nutrigene,Inactive,W18,0,https://www.mynutrigene.com/,
Storyline,Inactive,W18,3,https://www.producthunt.com/posts/storyline-7,
miru,Inactive,W18,1,https://www.miruhome.com,
Haiku,Inactive,W18,0,https://www.haikuforteams.com/,
Meson,Inactive,W18,10,https://meson.fi/,
Viaopt,Inactive,W18,2,http://www.viaopt.com,
Aalo,Inactive,W18,1,http://www.aalo.co,
Openland,Inactive,W18,14,https://openland.com,
EnvKey,Inactive,W18,2,https://www.envkey.com,
Curious Fictions,Inactive,W18,2,http://curiousfictions.com,
Tingles,Inactive,W18,6,https://www.gettingles.com,
OurMenu,Inactive,W18,3,http://www.ourmenu.io,
Skip,Inactive,W18,2,https://rideskip.com/,
Closer Sports,Inactive,W18,2,https://closersports.com,
Tipe,Inactive,W18,5,https://tipe.io,
Necto,Inactive,W18,4,http://joinnecto.com,
Rhythmm,Inactive,W18,2,https://getrhythmm.com,
California Dreamin,Inactive,W18,2,https://www.drinkdreamin.com/,
