Name,Status,Batch,Team_size,Website,Founders
The Rumie Initiative,Active,IK12,11,https://www.rumie.org,Tariq Fancy (https://www.linkedin.com/in/fancy )
Sense Education,Active,IK12,15,http://www.sense.education,Shahar Ben David (https://www.linkedin.com/in/shaharbendavid )
Next Tech,Active,IK12,6,https://next.tech,Saul Costa (https://www.linkedin.com/in/saulcosta/ )
Allcancode,Active,IK12,8,https://www.allcancode.com,Kostas Karolemeas (https://www.linkedin.com/in/kostaskarolemeas/ ); Spiros Alvertis (https://www.linkedin.com/in/spirosalvertis )
Sown To Grow,Active,IK12,16,http://www.sowntogrow.com,Rupa Gupta (https://www.linkedin.com/pub/rupa-chandra-gupta/39/890/60b ); Dennis Li (https://www.linkedin.com/in/dennisli/ https://twitter.com/dennis_hj_li)
Swing Education,Active,IK12,52,http://www.swingeducation.com,Osbert Feng (https://www.linkedin.com/in/ashavisweswaran ); Mike Teng (https://www.linkedin.com/in/mpteng ); Asha Visweswaran (https://www.linkedin.com/in/ashavisweswaran )
KickUp,Active,IK12,9,http://www.kickup.co,Jeremy Rogoff (https://www.linkedin.com/pub/jeremy-rogoff/24/b56/154 )
ProjectPro,Active,IK12,26,https://www.projectpro.io,Omair Aasim (http://in.linkedin.com/pub/omair-aasim/5/a39/22a ); Binny Mathews (https://www.linkedin.com/in/binnymathews )
Tickle,Active,IK12,2,http://tickleapp.com,Mike Chen ( ); Jackey Wang ( )
Mosa Mack Science,Active,IK12,0,http://www.mosamack.com,Lissa Johnson ( )
AdmitSee,Active,IK12,4,https://www.admitsee.com,Stephanie Shyu (https://www.linkedin.com/in/stephjshyu/ http://twitter.com/admitsee)
Trinket,Active,IK12,1,http://trinket.io,Elliott Hauser (https://www.linkedin.com/in/elliotthauser ); Brian Marks (https://www.linkedin.com/in/brianpmarks/ )
ReadWorks,Active,IK12,11,http://www.readworks.org/,Ruben Kleiman (https://www.linkedin.com/in/rubenkleiman )
Educents,Active,IK12,11,https://www.educents.com/,Ron Peled (https://www.linkedin.com/in/ronpeled ); Kaitlyn Trabucco (https://www.linkedin.com/in/kaitlyntrabucco )
Formative,Active,IK12,2,http://www.goformative.com,Kevin McFarland (https://www.linkedin.com/in/kevinrmcfarland ); Craig Jones (https://www.linkedin.com/in/craigcarterjones )
Peekapak,Active,IK12,11,http://www.peekapak.com,Angie Chan ( ); Ami Shah ( )
TeachMe,Active,IK12,2,http://www.mathgames.com,Bill Karamouzis (https://www.linkedin.com/in/karamouzis/ https://twitter.com/karamouzis)
BloomBoard,Active,IK12,56,http://www.bloomboard.com,Jason Lange (https://www.linkedin.com/in/jasonlange/ )
DeansList,Active,IK12,11,http://www.deanslistsoftware.com,Matt Robins (https://www.linkedin.com/in/matthewarobins )
Classkick,Active,IK12,11,http://www.classkick.com,Andrew Harada Rowland ( )
Class Central,Active,IK12,2,https://www.classcentral.com/,Dhawal Shah (https://www.linkedin.com/in/dhawals )
Edoome,Active,IK12,2,http://www.edoome.com,Sebastian de la Fuente (https://www.linkedin.com/ https://www.twitter.com/)
Edpuzzle,Active,IK12,40,https://edpuzzle.com,Santi Herrero (https://www.linkedin.com/in/santih https://twitter.com/santihbc); Joaquim Sabria (https://www.linkedin.com/in/joaquimsabria ); Xavi Vergés ( ); Jordi Gonzalez ( )
Kaymbu,Active,IK12,11,http://kaymbu.com,Kin Lo (https://www.linkedin.com/in/kinlo )
Showbie,Active,IK12,11,http://www.showbie.com,Colin Bramm ( )
Plickers,Active,IK12,5,http://www.plickers.com,Nolan Amy (https://www.linkedin.com/in/nolanamy/ https://twitter.com/nolanamy)
Literably,Active,IK12,10,https://literably.com,Tyler Borek (https://www.linkedin.com/in/tylerborek/ https://twitter.com/Literably); Habib Moody (https://www.linkedin.com/in/habib-moody-5223721aa https://twitter.com/Literably)
Kaizena,Active,IK12,2,http://www.kaizena.com,Edward Sun (https://www.linkedin.com/in/edwardsun3 ); Max Brodie (https://www.linkedin.com/in/maxwellbrodie/ )
Accredible,Active,IK12,125,http://www.accredible.com,Alan Heppenstall (https://www.linkedin.com/in/aheppenstall/ ); Danny King (https://www.linkedin.com/in/dalking/ )
Kodable Education,Active,IK12,17,https://www.kodable.com,Jon Mattingly (https://www.linkedin.com/in/jonmattingly/ https://www.twitter.com/kodable); Grechen Schumacher (https://www.linkedin.com/in/grechen-huebner/ https://www.twitter.com/kodable)
Securly,Active,IK12,51,http://www.securly.com,VINAY Mahadik (https://www.linkedin.com/in/vinayxmahadik ); Drew Ostrem (https://www.linkedin.com/in/astigsen )
CodeHS,Active,IK12,83,https://codehs.com,Zach Galant (https://www.linkedin.com/in/zgalant/ https://twitter.com/zgalant); Jeremy Keeshin (https://www.linkedin.com/in/jkeesh/ https://twitter.com/jkeesh)
Informed K12,Active,W2025,70,http://www.informedk12.com,Sarah Chou (https://www.linkedin.com/in/sarah-chou-2a589242 twitter_url_missing); Qian Wang (https://www.linkedin.com/in/qian-wang-9627851/ twitter_url_missing)
DigitWhiz,Active,IK12,2,http://www.digitwhiz.com,Kasey Brown (https://www.linkedin.com/in/kaseybrown )
NoRedInk,Active,IK12,50,http://www.noredink.com,Jeff Scheur (https://www.linkedin.com/in/jeffscheur )
Hapara,Active,IK12,11,http://hapara.com,Tony Kong ( )
edshelf,Active,IK12,11,http://edshelf.com/,Mike Lee (https://www.linkedin.com/in/mikeleeorg )
TeachBoost,Active,IK12,15,http://teachboost.com,Mike Gioia (https://www.linkedin.com/in/jderoner ); Jason DeRoner (https://www.linkedin.com/in/jderoner ); Andrew Gioia (https://www.linkedin.com/in/andrewgioia )
TapToLearn,Active,IK12,11,https://www.taptolearn.com,YOUR_Name ( )
ClassDojo,Active,IK12,100,http://www.classdojo.com,Sam Chaudhary (https://www.linkedin.com/in/samchaudhary/ https://twitter.com/liamdon); Liam Don (https://www.linkedin.com/in/liamdon/ https://twitter.com/liamdon)
