Name,Status,Batch,Team_size,One_liner,Website,Founders
OMGPop,Acquired,S06,11,An independent flash game studio,https://omgpop.com,Charles Forman (https://www.linkedin.com/in/iminlikewithyou/ https://twitter.com/charlesforman)
Scribd,Active,S06,300,World,http://scribd.com,Jared Friedman (https://linkedin.com/in/jaredfriedman )
Xobni,S06 Acquired,S06,11,Xobni makes your inbox and address book smarter. Xobni and its Smartr product suite discover all the people you�ve ever emailed called or SMS�d and instantly access a full view of each contact complete with their photo job title company details email history as well as updates from LinkedIn Facebook and Twitter.,http://xobni.com,Matt Brezina (https://linkedin.com/in/brezina )
Jumpchat,Inactive,S06,2,A platform bridging mobile text messages email and IM communication without needing to download anything.,http://jumpchat.com,Julia West (None None)
Likebetter,Inactive,S06,2,An online personality test game where you look at two photos and choose which one you "Like Better".,http://likebetter.com,Sol Kennedy (https://linkedin.com/in/solkennedy )
Zanbazaar,Inactive,S06,4,Community-curated catalogs for product recommendations,http://zanbazaar.com,Sean McBride (https://www.linkedin.com/in/smcbride https://twitter.com/smcbride); Dean Dieker ( ); Brendan Doms (https://www.linkedin.com/in/brendandoms ); Brian Shih ( )
Pollground,Active,S06,0,Online polls. A social polling site. Pollground allows you to easily create surveys and allow the wisdom of the crowd to answer your questions. Questions and comments can be posted anonymously.,http://pollground.com,Fred Zhang (https://linkedin.com/in/fan1zhang )
Shoutfit,Inactive,S06,3,A �fashion related community�.,http://shoutfit.com,Eric Seidel (https://www.linkedin.com/in/ericseidel/ https://twitter.com/_eseidel); Chris Smoak (https://www.linkedin.com/in/chrissmoak )
Talkito,Inactive,S06,0,What Happens at YC,http://talkito.com,Hovig Bayandorian ( )
Thinkature,Inactive,S06,0,,http://thinkature.com,Drew Harry (https://www.linkedin.com/in/drewharry )
Jamglue,Inactive,S06,2,,http://jamglue.com,Gautam Jayaraman (https://www.linkedin.com/in/gautamj/ ); Casey Muller (https://www.linkedin.com/in/caseymrm https://twitter.com/caseymrm); Divya Bhat (https://www.linkedin.com/in/divyab/ ); Matt Rubens (https://www.linkedin.com/in/mattrubens/ )
