Name,Status,Batch,Team_size,Website
Dropbox,Active,S07,4000,http://dropbox.com
Blue Frog Gaming,Active,S07,11,http://bluefroggaming.com
Anywhere.FM,Acquired,S07,11,http://anywhere.fm
Appjet,Acquired,S07,3,http://appjet.com
Clickpass,Acquired,S07,11,http://clickpass.com
ZumoDrive,,S07,15,http://zumodrive.com
Disqus,Acquired,S07,11,http://disqus.com
Songkick,Acquired,S07,0,http://songkick.com
Biographicon,Inactive,S07,2,http://biographicon.com
Eivod,Inactive,S07,51,http://eivod.com
Fuzzwich,Inactive,S07,2,http://fuzzwich.com
Meetyu,Inactive,S07,0,http://meetyu.com
Reble,Inactivemusic,S07,2,http://reble.fm
SocialPicks,Inactive,S07,2,http://socialpicks.com
ContestMachine,Inactive,S07,2,http://contestmachine.com
Splashup,Inactive,S07,2,http://splashup.com
iJigg/Top440,Inactive,S07,2,http://ijigg.com
Hello Chair Inc.,Inactive,S07,0,http://hellochair.com
Bountii,Inactive,S07,2,http://bountii.com
