Name,Status,Batch,Team_size,Website,Founders
DoorDash,Founded,S13,8600,http://doordash.com,Andy Fang (https://www.linkedin.com/in/fangsterr https://www.twitter.com/doordash); Stanley Tang (https://www.linkedin.com/in/stanleytang https://www.twitter.com/doordash); Tony Xu (https://www.linkedin.com/in/xutony https://www.twitter.com/doordash)
Casetext,Acquired,S13,50,http://casetext.com,Jake Heller (https://www.linkedin.com/in/jakeheller/ https://twitter.com/ycombinator)
CoreOS,Acquired,S13,150,http://coreos.com,Alex Polvi (https://www.linkedin.com/in/polvi/ )
Webflow,Startup,S13,600,https://webflow.com,Bryant Chou ( ); Sergie Magdalin ( ); Vlad Magdalin ( )
True Link,Active,S13,100,https://www.truelinkfinancial.com/,Claire McDonnell (https://www.linkedin.com/in/clairemcdonnell/ ); Kai Stinchcombe (https://www.linkedin.com/in/kaistinchcombe )
Reebee,Active,S13,11,http://reebee.com,Michal Martyniak ( )
Lob,Active,S13,150,http://lob.com,Harry Zhang (https://www.linkedin.com/in/zhangha/ https://www.twitter.com/lob)
Panorama Education,Active,S13,350,https://www.panoramaed.com/,Aaron Feuer (https://www.linkedin.com/in/aaronfeuer https://twitter.com/PanoramaEd)
Cratejoy,,S13,51,http://cratejoy.com,Amir Elaguizy (https://www.linkedin.com/in/amirelaguizy/ https://twitter.com/amirpc)
Estimote, Inc.,Active,S13,40,http://estimote.com,Lukasz Kostka (https://www.linkedin.com/in/lukaszkostka/ https://twitter.com/ljdk); Jakub Krzych (https://www.linkedin.com/in/krzych https://twitter.com/jimiasty)
EasyPost,Active,S13,51,http://easypost.com,Jarrett Streebin (https://www.linkedin.com/in/jstreebin )
Asseta,Active,S13,4,http://www.asseta.com,Garrett Beck (https://www.linkedin.com/in/garrett-beck-22022521/ https://twitter.com/garrettEbeck)
7 Cups,Founded,S13,11,http://7cups.com,Glen Moriarty (https://www.linkedin.com/in/2pointsomeone )
Echo Locker,Founded,S13,2,http://echolocker.com,Yin Wu (https://www.linkedin.com/in/ywu01/ ); Xuwen Cao (https://www.linkedin.com/in/xuwen-cao-a4471416/ )
Weilos,,S13,11,http://weilos.com,Ray Wu (https://www.linkedin.com/in/rayhwu )
