Name,Status,Batch,Team_size,Website
Fivestars,Acquired,W11,201,http://fivestars.com
GOAT Group,,W11,1600,https://www.goatgroup.com/
HelloSign,Acquired,W11,100,https://www.hellosign.com
DrChrono,Acquired,W11,150,https://www.drchrono.com
Storyworth,Active,W11,1,https://www.storyworth.com
Zerocater,Active,W11,140,http://zerocater.com
Mino Games,Active,W11,11,http://minomonsters.com
Close,Active,W11,20,https://close.com
Tremendous,Active,W11,75,https://www.tremendous.com
You Got Listings,Active,W11,3,http://www.yougotlistings.com
Instapainting,Active,W11,2,http://instapainting.com
Acunote,Active,W11,0,http://acunote.com
Tumult,Active,W11,1,https://tumult.com
Talkable,Active,W11,76,http://talkable.com
SingleStore,Active,W11,150,https://www.singlestore.com
TalkBin,Acquired,W11,0,http://talkbin.com
OrderAhead,Acquired,W11,50,https://www.crunchbase.com/organization/orderahead
Lanyrd,Acquired,W11,2,http://lanyrd.com
Mailgun,Acquired,W11,51,http://mailgun.net
Apportable,Acquired,W11,51,http://apportable.com
Pebble,Acquired,W11,51,http://getpebble.com
Humble Bundle,Acquired,W11,100,https://humble.com
Comprehend,Acquired,W11,51,http://comprehend.com
Custora,Acquired,W11,11,http://custora.com
Hotspots,Acquired,W11,2,http://moki.tv
Sendoid,Acquired,W11,2,http://sendoid.com
Earbits,Acquired,W11,15,http://earbits.com
Upverter,Acquired,W11,11,http://upverter.com
SimplyListed,Inactivemarketplacecomputer-vision,W11,2,http://simplylisted.com
Venuetastic,Inactive,W11,2,http://venuetastic.com
Siasto,Inactive,W11,2,http://siasto.com
TrustEgg,Inactive,W11,2,http://fidoosh.com
Tutorspree,Inactive,W11,51,http://tutorspree.com
Balanced,Inactive,W11,11,http://balancedpayments.com
Flotype,Inactive,W11,2,https://flotype.com
Convore,Inactive,W11,2,http://convore.com
Insight Data Science,Inactive,W11,11,http://insightdatascience.com
Hyperink,Inactive,W11,11,http://hyperinkpress.com
AppHarbor,Inactive,W11,1,https://appharbor.com
FitFu,Inactive,W11,2,http://fitfu.com
Assembled,Inactive,W11,2,https://
TellFi,Inactive,W11,2,http://tellfi.com
Beetailer,Inactive,W11,2,http://beetailer.com
Inporia,Inactive,W11,11,http://inporia.com
Userfox,Inactives,W11,2,http://userfox.com
