Name,Status,Batch,Team_size,Website
The Rumie Initiative,Active,IK12,11,https://www.rumie.org
Sense Education,Active,IK12,15,http://www.sense.education
Next Tech,Active,IK12,6,https://next.tech
Allcancode,Active,IK12,8,https://www.allcancode.com
Sown To Grow,Active,IK12,16,http://www.sowntogrow.com
Swing Education,Active,IK12,52,http://www.swingeducation.com
KickUp,Active,IK12,9,http://www.kickup.co
ProjectPro,Active,IK12,26,https://www.projectpro.io
Tickle,Active,IK12,2,http://tickleapp.com
Mosa Mack Science,Active,IK12,0,http://www.mosamack.com
AdmitSee,Active,IK12,4,https://www.admitsee.com
Trinket,Active,IK12,1,http://trinket.io
ReadWorks,Active,IK12,11,http://www.readworks.org/
Educents,Active,IK12,11,https://www.educents.com/
Formative,Active,IK12,2,http://www.goformative.com
Peekapak,Active,IK12,11,http://www.peekapak.com
TeachMe,Active,IK12,2,http://www.mathgames.com
BloomBoard,Active,IK12,56,http://www.bloomboard.com
DeansList,Active,IK12,11,http://www.deanslistsoftware.com
Classkick,Active,IK12,11,http://www.classkick.com
Class Central,Active,IK12,2,https://www.classcentral.com/
Edoome,Active,IK12,2,http://www.edoome.com
Edpuzzle,Active,IK12,40,https://edpuzzle.com
Kaymbu,Active,IK12,11,http://kaymbu.com
Showbie,Active,IK12,11,http://www.showbie.com
Plickers,Active,IK12,5,http://www.plickers.com
Literably,Active,IK12,10,https://literably.com
Kaizena,Active,IK12,2,http://www.kaizena.com
Accredible,Active,IK12,125,http://www.accredible.com
Kodable Education,Active,IK12,17,https://www.kodable.com
Securly,Active,IK12,51,http://www.securly.com
CodeHS,Active,IK12,83,https://codehs.com
Informed,Active,IK12,70,http://www.informedk12.com
DigitWhiz,Active,IK12,2,http://www.digitwhiz.com
NoRedInk,Active,IK12,50,http://www.noredink.com
Hapara,Active,IK12,11,http://hapara.com
edshelf,Active,IK12,11,http://edshelf.com/
TeachBoost,Active,IK12,15,http://teachboost.com
TapToLearn,Active,IK12,11,https://www.taptolearn.com
ClassDojo,Active,IK12,100,http://www.classdojo.com
Educreations,Active,IK12,2,https://www.educreations.com
Remind,Active,IK12,51,http://www.remind.com
Goalbook,Active,IK12,100,http://goalbookapp.com
Eduvant,Active,IK12,2,http://www.eduvant.com
SchoolMint,Acquired,IK12,300,http://www.schoolmint.com
Freckle Education,Active,IK12,52,http://www.freckle.com
LearnSprout,Acquired,IK12,11,http://www.learnsprout.com
Answer.ky,Inactive,IK12,2,http://answer.ky/
Sesame,Inactive,IK12,0,https://sesamehq.com
Alieo Games,Inactive,IK12,2,http://www.alieogames.com/
Edusight,Inactive,IK12,2,https://edusight.co/
MathChat,Inactive,IK12,2,http://www.getmathchat.com
Chesscademy,Inactive,IK12,2,http://www.chesscademy.com
BrightLoop,Inactive,IK12,2,http://www.brightlooplearning.com
Picolab,Inactive,IK12,0,http://getpicolab.com
eduvee,Inactive,IK12,2,http://eduvee.com
Mission 100%,Inactive,IK12,2,http://mission100percent.com
ClassroomIQ,Inactive,IK12,2,http://www.getclassroomiq.com
Cellabus,Inactive,IK12,2,http://www.cellabus.com
NetClick Inc,Inactive,IK12,0,https://www.netclick.me
Geddit,Inactive,IK12,2,http://letsgeddit.com
GigaBryte,Inactive,IK12,11,https://www.gigabryte.com/
VideoNotes,Inactive,IK12,11,http://videonot.es
StudyRoom,Inactive,IK12,2,http://www.getstudyroom.com
Tioki,Inactive,IK12,2,http://www.tioki.com
Blendspace,Inactive,IK12,2,http://www.blendspace.com
MommaZoo,Inactive,IK12,2,https://www.mommazoo.com
SmarterCookie,Inactive,IK12,2,http://beasmartercookie.com
DSK,Inactive,IK12,0,http://mytryumph.com
Socrative,Inactive,IK12,11,https://www.socrative.com
TopMind,Inactive,IK12,0,https://satrocket.com
LearningJar,Inactive,IK12,2,https://www.learningjar.com
InstaGrok,Inactive,IK12,11,http://www.instagrok.com
Class Connect,Inactive,IK12,2,http://www.classconnect.com
BrainNook,Inactive,IK12,0,http://www.brainnook.com
TutorCloud,Inactive,IK12,0,http://www.tutorcloud.com
Eleven Learning,Inactive,IK12,0,https://www.elevenlearning.com
