Name,Status,Batch,Team_size,Website,Founders
Ginkgo Bioworks,Private,S14,641,http://ginkgobioworks.com,Barry Canton (https://www.linkedin.com/in/barry-canton-6826424/ ); Austin Che (https://www.linkedin.com/in/austinche/ ); Jason Kelly (https://www.linkedin.com/in/jrkelly2/ ); Tom Knight (https://www.linkedin.com/in/tom-knight-2236324/ ); Reshma Shetty (https://www.linkedin.com/in/rpshetty/ )
Rigetti Computing,Public,S14,51,http://rigetti.com,Chad Rigetti (https://www.linkedin.com/in/chad-rigetti-9891562 https://twitter.com/ChadRigetti)
Oklo,Active,S14,50,http://oklo.com,Caroline Cochran (https://www.linkedin.com/in/caorilne https://www.twitter.com/caorilne); Jacob DeWitte (http://linkedin.com/in/jacob-dewitte-90062132 )
Checkr,Active,S14,1200,http://www.checkr.com,Daniel Yanisse (https://www.linkedin.com/in/yanisse ); Jonathan Perichon ( )
Cognito,Acquired,S14,12,https://cognitohq.com,John Backus (https://www.linkedin.com/in/johnbackus/ https://twitter.com/backus); Alain Meier (https://www.linkedin.com/in/alainmeier/ https://twitter.com/alain); Christopher Morton (https://linkedin.com/in/mortonch )
ShipBob,active,S14,1,http://shipbob.com,Dhruv Saxena (https://www.linkedin.com/in/dhruv-saxena-4568034 https://twitter.com/DhruvSaxena); Divey Gulati (https://www.linkedin.com/in/divey-gulati-90299414 https://twitter.com/DiveyGulati)
Bayes Impact,Active,S14,11,http://bayesimpact.org,Paul Duan (https://www.linkedin.com/in/pyduan )
Helion Energy,Active,S14,150,http://helionenergy.com,David Kirtley (https://www.linkedin.com/in/david-kirtley-490b8230/ ); Chris Pihl (https://www.linkedin.com/in/chris-pihl-4a84b1a/ )
Front,Active,S14,385,https://front.com,Mathilde Collin (https://www.linkedin.com/in/mathilde-collin-bb59492a/en/ https://twitter.com/l_perrin); Laurent Perrin (https://www.linkedin.com/in/laurent-perrin-9199505/ https://twitter.com/l_perrin)
Roomstorm,S14,S14,4,http://roomstorm.com,Maksim Izmaylov (https://www.linkedin.com/in/kvbik ); Jakub Vysoký (https://cz.linkedin.com/in/jakubvysoky )
Hive,Active,S14,40,http://www.hive.co,Patrick Hannigan (https://www.linkedin.com/in/patrickhannigan/ http://www.twitter.com/patrickhannigan); Ian Roberts ( )
