Name,Status,Batch,Team_size,Website
Flock Safety,Active,S17,1000,http://www.flocksafety.com
Modern Fertility,Acquired,S17,25,https://www.modernfertility.com
Cashfree Payments,Active,S17,200,https://www.cashfree.com/
Candidate.ly,Active,S17,9,https://candidate.ly/
FollowUpThen,Active,S17,1,https://www.followupthen.com
Thematic,Active,S17,21,http://www.getthematic.com
10 By 10,Active,S17,5,https://10by10.io
Forever Labs,Active,S17,12,https://foreverlabs.com
Gem,Active,S17,200,https://www.gem.com/
Just Appraised,Active,S17,40,https://www.justappraised.com
Routable,Active,S17,160,https://routable.com
Goodcover,Active,S17,4,http://www.goodcover.com
Assembly AI,Active,S17,65,https://www.assemblyai.com
Zendar,Active,S17,45,http://www.zendar.io
Officely,Active,S17,11,https://www.getofficely.com
May Mobility,Active,S17,260,http://maymobility.com
Muzz,Active,S17,104,https://muzz.com
OneLocal,Active,S17,90,https://onelocal.com/
Imbue,Active,S17,35,http://imbue.com
Oncobox,Active,S17,11,http://oncobox.com
Tesseract,Active,S17,6,http://tesseract.space
D-ID,Active,S17,27,http://www.d-id.com
Skyscrape,Active,S17,3,http://skyscrape.us
Flowspace,Active,S17,48,http://www.flow.space
Piggy,Active,S17,2,https://piggy.co.in
Airthium,Active,S17,12,http://www.airthium.com
tpaga,Active,S17,25,https://tpaga.co
Rev Genomics,Active,S17,8,https://www.revgenomics.com
Pyka,Active,S17,75,https://flypyka.com
Entocycle,Active,S17,13,https://www.entocycle.com/
HelpWear,Active,S17,2,http://helpwear.ca/
Spect,Active,S17,7,http://www.getspect.com
Pop Meals,Active,S17,153,https://popmeals.com
Koko Labs,Active,S17,25,https://www.meetkoko.com
Rabbet,Active,S17,23,http://rabbet.com
Truepill,Active,S17,1300,https://truepill.com/
Upfort,Active,S17,38,https://www.upfort.com
Prelim,Active,S17,34,https://prelim.com
Advano,Active,S17,25,http://www.advano.io
Carrot Fertility,Active,S17,0,https://www.get-carrot.com/
Relationship Hero,Active,S17,100,https://relationshiphero.com
CocuSocial,Active,S17,10,http://www.cocusocial.com
ThereCraft,Active,S17,1,https://therecraft.com
SafeButler,Active,S17,2,https://www.safebutler.com
Darmiyan,Active,S17,8,https://www.darmiyan.com/
Nimble,Active,S17,4,http://www.hirenimble.com
Roofr,Active,S17,40,https://roofr.com
Pathrise,Active,S17,55,https://www.pathrise.com
Standard AI,Active,S17,150,https://standard.ai
UpCodes,Active,S17,23,https://up.codes/
Helium Health,Active,S17,110,https://heliumhealth.com/
Fam,Active,S17,11,https://www.famapp.com/
Ribbon Health,Active,S17,91,http://www.ribbonhealth.com
Releaf,Active,S17,100,http://www.releaf.africa
Leon & George,Active,S17,10,https://www.leonandgeorge.com
Bloom Institute of Technology,Active,S17,50,https://www.bloomtech.com
Aecore,Active,S17,6,https://www.aecore.com
AutoHub,Active,S17,2,https://www.autohub.io
VergeSense,Active,S17,70,http://www.vergesense.com
Nobell Foods,Active,S17,58,http://www.nobellfoods.com
Long Term Stock Exchange,Active,S17,68,http://ltse.com
Skyways,Active,S17,23,http://skyways.com
FAZZ,Active,S17,500,https://fazzfinancial.com
Jerry,Active,S17,288,https://getjerry.com
BillionToOne,Active,S17,300,https://www.billiontoone.com
PullRequest,Acquired,S17,11,http://www.pullrequest.com
Dharma Labs,Acquired,S17,14,https://dharma.io
VIDA & Co,Acquired,S17,11,http://www.shopvida.com
Disclosures.io,Active,S17,10,https://disclosures.io
Templarbit,Acquired,S17,11,https://www.templarbit.com
Lyrebird,Active,S17,13,https://lyrebird.ai
Headstart,Active,S17,44,https://www.headstart.io
Opearlo,Acquired,S17,2,https://www.opearlo.com
Eduflow,Active,S17,12,https://www.eduflow.com
LotusPay,Acquired,S17,5,http://www.lotuspay.com
bxblue,Acquired,S17,28,http://www.bxblue.com.br
Percept.AI,Acquired,S17,7,https://www.percept.ai/
Honeydue,Acquired,S17,2,https://www.honeydue.com/
Guilded,Acquired,S17,15,http://www.guilded.gg
Surematics,Acquired,S17,2,https://www.surematics.com/
Indivio,Acquired,S17,8,https://www.indiv.io
Plasticity,Active,S17,2,https://www.plasticity.ai
Meetingbird,Active,S17,2,https://www.meetingbird.com
Wildfire,Active,S17,3,http://getwildfire.com/
Escher Reality,Acquired,S17,2,http://www.escherreality.com/
Solve,Acquired,S17,2,https://www.solve.com
Enzyme,Active,S17,32,https://www.enzyme.com
Mystery.org,Acquired,S17,53,https://mystery.org
Fat Llama,Acquired,S17,41,https://fatllama.com
CarDash,Acquired,S17,12,https://www.repairsmith.com
Feather,Active,S17,125,http://livefeather.com
Audm,Acquired,S17,10,https://www.audm.com
Py,Active,S17,3,https://www.getpy.com
Elucd,Acquired,S17,8,http://www.elucd.com
WheelStreet,Inactive,S17,10,https://www.wheelstreet.com/
NextDrop,Inactive,S17,11,https://thenextdrop.com/
Bumpline,Inactive,S17,2,https://bumpline.com
Social Construct,Inactive,S17,17,http://socialconstructco.com
Cambridge Cancer Genomics,Inactive,S17,25,http://ccg.ai
Polly,Inactive,S17,3,https://polly.fun
Commissary Club (formerly 70 Million Jobs),Active,S17,8,https://www.Commissary.Club
Gamelynx,Inactive,S17,5,https://gamelynx.gg
Guggy,Active,S17,2,https://guggy.com
Fastpad,Active,S17,3,https://fastpad.com/
Sunu,Inactive,S17,11,http://www.sunu.com
WATERFX,Active,S17,1,http://www.wacomet.com
And Comfort,Inactive,S17,2,http://andcomfort.com
Modular Science,Inactive,S17,0,https://www.modularscience.com/
PreDxion Bio,Active,S17,6,http://www.predxionbio.com
Goosebump,Inactive,S17,2,http://m.me/higoosebump
Storyboard,Active,S17,2,https://www.storyboard.com
RideAlong,Inactive,S17,2,http://www.getridealong.com
Slik,Inactive,S17,2,http://slik.ai
Caelum Health,Inactive,S17,2,https://caelumhealth.com/
Covetly,Active,S17,3,https://www.covetly.com/
Semantix,Inactive,S17,2,https://www.semantix.ai
Mystro,Inactive,S17,6,http://www.mystrodriver.com
Greo,Inactive,S17,2,http://www.greo.com
Value Voting,Inactive,S17,2,https://www.valuevoting.com
Sixty,Active,S17,4,https://usesixty.com/
Gameday,Inactive,S17,2,http://playgameday.com
Dropleaf,Inactive,S17,2,https://dropleaf.io
Prism Labs,Inactive,S17,5,https://Prism Labs
Sunfolding,Inactive,S17,44,http://www.sunfolding.com
Passerine Aircraft,Inactive,S17,2,http://www.passerineaircraft.com/
