Name,Status,Batch,Team_size,Website
Optimizely,Acquired,W10,1500,http://optimizely.com
OwnLocal,Active,W10,45,http://ownlocal.com
Etacts,Acquired,W10,2,http://etacts.com
Movity,Acquired,W10,2,http://movity.com
Cardpool,Acquired,W10,251,http://cardpool.com
Cue,Acquired,W10,11,http://cueup.com
Zencoder,Acquired,W10,11,http://zencoder.com
Nowmov,Acquired,W10,0,http://nowmov.com
Creative Market,Acquired,W10,11,https://creativemarket.com
Embedly,Acquired,W10,2,http://embed.ly
Bitplay,Acquired,W10,2,http://meetings.io
Crocodoc,Acquired,W10,0,https://crocodoc.com
All Screen,Acquired,W10,15,http://140fire.com
500Friends,Acquired,W10,51,http://500friends.com
Mertado,Acquired,W10,1,http://mertado.com
Notifo,Inactive,W10,2,http://notifo.com
Infoharmoni,Inactive,W10,2,http://infoharmoni.com
Newcope,Inactive,W10,2,http://newcope.com
Newslabs,Inactive,W10,2,http://newslabs.com
Data Marketplace,Inactive,W10,2,http://datamarketplace.com
Fithub,Inactive,W10,0,http://fithub.com
Gamador,Inactive,W10,2,http://gamador.com
Zenedy,Inactive,W10,2,http://zenedy.com
Answerly,Inactive,W10,11,http://answerly.com
LaunchHear,Inactive,W10,2,http://alexkrupp.com
Fabricly,Inactive,W10,2,http://fabricly.com
