Name,Status,Batch,Team_size,Website,Founders
Embark Trucks,Active,W16,300,http://embarktrucks.com,Alex Rodrigues (https://ca.linkedin.com/in/rodriguesalex https://twitter.com/alexrodriguesca); Brandon Moak (https://ca.linkedin.com/in/brandonmoak https://twitter.com/<some_twitter_url>)
Truebill,Active,W16,225,https://www.truebill.com,Haroon Mokhtarzada (https://www.linkedin.com/in/haroonmokhtarzada/ https://www.twitter.com/haroon)
Caper,Acquired,W16,15,https://www.caper.ai/,Ahmed Beshry (https://ca.linkedin.com/in/ahmedbeshry ); Lindon Gao (https://www.linkedin.com/in/lindon-gao/ ); Yilin Huang ( )
NURX,Acquired,W16,300,https://www.nurx.com,Edvard Engesaeth (https://www.linkedin.com/in/edvardeng/ https://twitter.com/Dreddielicious)
Paystack,Acquired,W16,115,https://www.paystack.com,Shola Akinlade (http://ng.linkedin.com/in/shollsman/en https://twitter.com/0x); Ezra Olubi (https://ng.linkedin.com/in/cfezra )
GitPrime,Acquired,W16,110,https://www.gitprime.com,Ben Thompson (https://www.linkedin.com/in/thompsonben https://www.twitter.com/thebent/); Travis Kimmel (https://www.linkedin.com/in/travis-kimmel-20111b2a https://twitter.com/gitprime)
Podium,Active,W16,1000,https://podium.com,Dennis Steele (https://www.linkedin.com/in/steeledennis ); Eric Rea (https://www.linkedin.com/in/ericrea/ )
Rappi,Active,W16,4800,http://www.rappi.com,Sebastian Mejia (https://www.linkedin.com/company/rappi/ https://twitter.com/rappicolombia); Simon Borrero (https://co.linkedin.com/in/simonborrero https://twitter.com/RappiColombia); Felipe Villamarin (https://www.linkedin.com/in/felipe-villamarin-85518161 https://twitter.com/mejiasebas)
Focal Systems,Active,W16,170,http://www.focal.systems,Michael Cantalino (https://www.linkedin.com/pub/michael-john-cantalino/12/b44/747 ); Francois Chaubard (https://www.linkedin.com/pub/francois-chaubard/48/694/a1 )
Mio,Active,W16,12,https://m.io,James Cundle (https://www.linkedin.com/in/jamescundle/ https://twitter.com/jamescundle); Tom Hadfield (http://www.linkedin.com/in/hadfieldtom/ http://twitter.com/tomhadfield)
